Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdY/90,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
231,Kamaljit Singh,in IND,GK,East Bengal,26,1995,17,1,0.06,0,0,0,0,0,0,1,3,0
232,Karanjit Singh,in IND,GK,Kerala Blasters,36,1986,2,0,0,0,0,0,0,0,0,1,0,0
233,Konsham Singh,in IND,DF,Hyderabad FC,25,1996,11.8,3,0.25,0,0,6,4,0,2,10,4,1
234,Manvir Singh,in IND,"MF,FW",Mohun Bagan,26,1995,12.4,1,0.08,0,0,10,9,2,16,5,9,0
235,Mehtab Singh,in IND,DF,Mumbai City,24,1998,18.4,3,0.16,0,0,6,3,1,1,23,11,1
236,Naorem Singh,in IND,"MF,FW",East Bengal,23,1999,16.9,1,0.06,0,0,12,17,1,86,5,26,0
237,Phijam Singh,in IND,MF,Jamshedpur,19,2003,2.3,0,0,0,0,0,0,0,1,1,5,0
238,Prabhsukhan Singh,in IND,GK,Kerala Blasters,21,2001,18,3,0.17,0,0,2,3,0,0,1,1,0
239,Reagan Singh,in IND,DF,Hyderabad FC,31,1991,2.3,0,0,0,0,3,4,0,9,0,3,0
240,Roshan Singh,in IND,"MF,FW",Bengaluru,23,1999,18.9,2,0.11,0,0,12,30,5,85,27,26,0
241,Sandeep Singh,in IND,DF,Kerala Blasters,27,1995,8.9,4,0.45,0,0,10,1,1,37,20,14,0
242,Gurpreet Singh Sandhu,in IND,GK,Bengaluru,30,1992,20,2,0.1,0,0,1,3,0,0,1,0,0
243,Sehnaj Singh,in IND,MF,NorthEast Utd,29,1993,0.6,0,0,0,0,2,0,0,0,1,0,0
244,Soraisam Singh,in IND,DF,East Bengal,26,1995,1,0,0,0,0,1,1,0,3,1,0,0
245,Suresh Singh,in IND,MF,Bengaluru,21,2000,16,4,0.25,0,0,33,13,0,8,21,10,0
246,Boris Singh Thangjam,in IND,"MF,FW",Jamshedpur,22,2000,17,3,0.18,0,0,16,29,2,48,5,31,0
247,Thoiba Singh,in IND,"MF,DF",Odisha,19,2002,18.4,3,0.16,0,0,23,16,0,15,13,13,0
248,Tondonba Singh,in IND,DF,NorthEast Utd,27,1994,6.2,0,0,0,0,2,5,1,22,10,5,0
249,Udanta Singh,in IND,"MF,FW",Bengaluru,26,1996,5.1,1,0.2,0,0,4,7,2,17,4,1,0
250,Vikram Singh,in IND,MF,Mumbai City,20,2002,3,3,1,0,0,8,11,1,9,2,7,0
251,Yumkhaibam Singh,in IND,MF,Chennaiyin,20,2001,11.1,2,0.18,0,0,18,8,0,15,23,17,0
252,Siverio,es ESP,FW,Hyderabad FC,24,1997,11.5,1,0.09,0,0,19,19,5,0,2,3,0
253,Petar Slišković,hr CRO,FW,Chennaiyin,31,1991,15.4,1,0.06,0,0,12,13,13,1,1,4,0
254,Sanjeev Stalin,in IND,DF,Mumbai City,21,2001,7.4,1,0.14,0,0,12,2,0,1,8,9,0
255,Greg Stewart,sct SCO,"MF,FW",Mumbai City,32,1990,14.9,3,0.2,0,0,12,33,6,42,6,16,0
256,Nihal Sudeesh,in IND,FW,Kerala Blasters,21,2001,1.2,0,0,0,0,1,2,0,1,0,2,0
257,Syed Suhail Pasha,in IND,FW,Chennaiyin,22,1999,0.3,0,0,0,0,0,0,0,0,0,2,0
258,Parthib Sundar Gogoi,in IND,"FW,MF",NorthEast Utd,19,2003,9.5,2,0.21,0,0,8,6,1,15,10,6,0
259,Pragyan Sundar Gogoi,in IND,MF,NorthEast Utd,23,1999,11.3,4,0.35,0,0,14,8,0,8,16,9,0
260,Edwin Sydney Vanspaul,in IND,"MF,DF",Chennaiyin,29,1992,11.1,1,0.09,0,0,8,9,1,32,19,15,0
261,Nim Tamang,in IND,DF,Hyderabad FC,26,1995,9.1,0,0,0,0,6,3,0,0,10,5,1
262,Deepak Tangri,in IND,"MF,DF",Mohun Bagan,23,1999,8.3,2,0.24,0,0,14,0,1,1,12,17,0
263,Sahil Tavora,in IND,MF,Hyderabad FC,26,1995,6.8,2,0.29,0,0,8,9,0,4,9,10,0
264,Anirudh Thapa,in IND,MF,Chennaiyin,24,1998,13.2,2,0.15,0,0,6,15,3,46,9,3,0
265,Redeem Tlang,in IND,MF,Goa,27,1995,10.2,2,0.2,0,0,13,11,3,29,8,23,0
266,Rehenesh TP,in IND,GK,Jamshedpur,29,1993,11,0,0,0,0,0,0,0,0,0,0,0
267,Akshunna Tyagi,in IND,FW,Odisha,20,2001,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0
268,Athul Unnikrishnan,in IND,DF,East Bengal,22,2000,0.1,0,0,0,0,0,0,0,1,0,0,0
269,Muhammed Uvais,in IND,"DF,MF",Jamshedpur,24,1998,3.2,1,0.31,0,0,2,0,1,3,4,4,0
270,Suhair V. P.,in IND,"MF,FW",East Bengal,30,1992,14.9,8,0.54,0,0,39,19,11,33,11,20,0
271,Marc Valiente,es ESP,DF,Goa,35,1987,5.4,1,0.19,0,0,2,0,0,0,4,1,0
272,Isak Vanlalruatfela,in IND,"MF,FW",Odisha,21,2001,4.1,0,0,0,0,3,3,2,10,2,7,0
273,Isaac Vanmalsawma,in IND,"MF,FW",Odisha,25,1996,9.5,2,0.21,0,0,6,11,0,36,8,12,0
274,Bijoy Varghese,in IND,DF,Kerala Blasters,22,2000,0.1,0,0,0,0,0,0,0,0,0,0,0
275,Álvaro Vázquez,es ESP,FW,Goa,31,1991,8.8,1,0.11,0,0,2,10,6,6,3,3,0
276,João Victor,br BRA,MF,Hyderabad FC,33,1988,10.5,1,0.1,0,0,16,14,1,2,15,8,0
277,Vishal Yadav,in IND,GK,Jamshedpur,20,2002,9,0,0,0,0,0,1,0,0,0,0,0
278,Joe Zoherliana,in IND,DF,NorthEast Utd,23,1999,9.5,2,0.21,0,0,17,5,1,11,9,14,1
279,Mark Zothanpuia,in IND,MF,Hyderabad FC,20,2002,0.2,0,0,0,0,0,0,0,1,0,0,0
