Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdY/90,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
53,Prabir Das,in IND,"MF,DF",Bengaluru,28,1993,12.8,1,0.08,0,0,11,6,1,27,18,12,0
54,Ritwik Das,in IND,MF,Jamshedpur,25,1996,13.9,1,0.07,0,0,5,16,3,33,11,13,0
55,Sourav Das,in IND,MF,Chennaiyin,26,1996,4.4,1,0.23,0,0,8,2,0,1,6,9,0
56,Tuhin Das,in IND,MF,East Bengal,22,2000,2.3,1,0.43,0,0,2,1,1,4,0,3,0
57,Carlos Delgado,es ESP,DF,Odisha,32,1990,20,1,0.05,0,0,16,9,0,0,38,18,0
58,Matt Derbyshire,eng ENG,FW,NorthEast Utd,36,1986,6.2,0,0,0,0,2,8,6,1,1,4,0
59,Jockson Dhas,in IND,MF,Chennaiyin,27,1995,1.7,0,0,0,0,2,3,0,2,0,3,0
60,Fallou Diagne,sn SEN,DF,Chennaiyin,32,1989,17.4,5,0.29,0,0,16,4,1,2,24,11,0
61,Dimitris Diamantakos,gr GRE,FW,Kerala Blasters,29,1993,18.1,2,0.11,0,0,23,26,9,16,0,5,0
62,Aibanbha Dohling,in IND,DF,Goa,26,1996,16.5,1,0.06,0,0,6,12,0,19,19,17,0
63,Seiminlen Doungel,in IND,"FW,MF",Jamshedpur,28,1994,1.8,1,0.56,0,0,7,4,0,11,5,8,0
64,Julius Düker,de GER,MF,Chennaiyin,26,1996,18.3,3,0.16,0,0,11,19,1,5,34,35,0
65,Eliandro,br BRA,FW,East Bengal,32,1990,1.2,0,0,0,0,1,0,1,1,0,1,0
66,Jay Emmanuel-Thomas,eng ENG,MF,Jamshedpur,31,1990,14.5,0,0,0,0,10,8,0,56,5,10,0
67,Aaron Evans,au AUS,DF,NorthEast Utd,27,1994,14.9,3,0.2,0,0,11,5,0,3,14,7,0
68,Mourtada Fall,sn SEN,DF,Mumbai City,34,1987,9.6,1,0.1,0,0,7,4,0,2,10,6,0
69,Danish Farooq,in IND,FW,Kerala Blasters,26,1996,0.7,0,0,0,0,1,1,0,3,1,2,0
70,Danish Farooq,in IND,MF,Bengaluru,26,1996,5.2,1,0.19,0,0,13,5,0,4,3,5,0
71,Brandon Fernandes,in IND,MF,Goa,27,1994,18.6,4,0.22,0,0,12,38,1,104,10,22,0
72,Brison Fernandes,in IND,MF,Goa,21,2001,2.8,0,0,0,0,1,2,1,0,0,6,0
73,Raynier Fernandes,in IND,MF,Odisha,,,12.2,0,0,0,0,15,5,0,26,10,7,0
74,Seriton Fernandes,in IND,DF,Goa,29,1992,14.2,1,0.07,0,0,15,6,0,17,16,18,0
75,Narender Gahlot,in IND,DF,Odisha,21,2001,14.3,5,0.35,0,0,12,9,0,22,23,18,0
76,Federico Gallego,uy URU,MF,Mohun Bagan,32,1990,4.8,0,0,0,0,3,9,0,11,2,7,0
77,Saviour Gama,in IND,DF,Goa,25,1997,2.8,0,0,0,0,2,2,0,5,4,10,0
78,Iván Garrido González,es ESP,DF,East Bengal,32,1990,13.8,2,0.14,0,0,11,8,0,2,23,21,0
79,Jon Gaztañaga,es ESP,MF,NorthEast Utd,31,1991,11.5,6,0.52,0,0,20,10,0,5,12,13,0
80,Apostolos Giannou,au AUS,FW,Kerala Blasters,32,1990,7.5,0,0,0,0,10,12,4,9,1,10,0
81,Sarthak Golui,in IND,DF,East Bengal,24,1997,10.7,2,0.19,1,1,9,6,0,21,21,21,0
82,Rostyn Griffiths,au AUS,DF,Mumbai City,34,1988,14.4,2,0.14,0,0,10,2,2,2,13,10,0
83,Iker Guarrotxena,es ESP,"MF,FW",Goa,29,1992,18.8,1,0.05,0,0,25,61,6,3,6,11,1
84,Vafa Hakhamaneshi,ir IRN,DF,Chennaiyin,31,1991,15.5,3,0.19,1,1,17,8,1,1,21,11,1
85,Pronay Halder,in IND,MF,Mohun Bagan,29,1993,0.7,0,0,0,0,0,0,0,0,0,0,0
86,Pronay Halder,in IND,"MF,DF",Jamshedpur,29,1993,7,3,0.43,0,0,10,7,0,1,10,13,0
87,Brendan Hamill,au AUS,DF,Mohun Bagan,29,1992,18,7,0.39,0,0,12,15,0,0,25,12,0
88,Thongkhosiem Haokip,in IND,FW,East Bengal,29,1993,7.7,1,0.13,0,0,6,10,8,6,2,3,0
89,Peter Hartley,eng ENG,DF,Jamshedpur,34,1988,7.9,4,0.51,1,0,12,2,1,0,8,3,0
90,Hernán,es ESP,"DF,MF",Goa,31,1990,1.2,0,0,0,0,0,4,0,0,3,1,0
91,Javi Hernández,es ESP,MF,Bengaluru,33,1989,16,3,0.19,0,0,9,41,0,68,16,9,0
92,Borja Herrera,es ESP,MF,Hyderabad FC,29,1993,12.7,1,0.08,0,0,12,11,2,98,19,10,0
93,Lalrinliana Hnamte,in IND,DF,Mohun Bagan,19,2003,1.1,0,0,0,0,0,1,0,1,2,3,0
94,Sylvester Igboun,ng NGA,"FW,MF",NorthEast Utd,31,1990,0.2,0,0,0,0,0,0,0,0,0,0,0
95,Mohammed Irshad,in IND,"MF,DF",NorthEast Utd,27,1994,6.4,2,0.31,0,0,6,3,0,8,6,4,0
96,Ahmed Jahouh,ma MAR,MF,Mumbai City,34,1988,14.7,5,0.34,0,0,28,11,0,65,24,39,0
97,Michael Jakobsen,dk DEN,DF,NorthEast Utd,36,1986,9.4,2,0.21,0,0,5,13,0,1,8,4,0
98,Himanshu Jangra,in IND,MF,East Bengal,18,2004,1.7,0,0,0,0,2,1,0,6,3,5,0
99,Jake Jervis,eng ENG,FW,East Bengal,30,1991,4.8,0,0,0,0,8,7,2,0,0,4,0
100,Sandesh Jhingan,in IND,DF,Bengaluru,29,1993,18,3,0.17,0,0,18,5,0,0,34,12,1
101,Ricky John Shabong,in IND,MF,Mohun Bagan,19,2002,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0
102,Lalbiakhlua Jongte,in IND,GK,Hyderabad FC,20,2002,1,0,0,0,0,0,0,0,0,0,0,0
103,Wilmar Jordán,co COL,"FW,MF",NorthEast Utd,31,1990,8.2,1,0.12,1,0,7,13,6,3,3,6,0
104,Aleksandar Jovanović,au AUS,DF,Bengaluru,32,1989,12,0,0,0,0,6,2,1,0,12,8,0
105,Jobby Justin,in IND,FW,Chennaiyin,28,1993,0.6,0,0,0,0,1,3,0,2,0,0,0
106,Abdul Rabeeh A K,in IND,MF,Hyderabad FC,21,2001,3.5,0,0,0,0,4,4,0,27,1,10,0
