Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
39,Daniel Chima Chukwu,ng NGA,FW,Jamshedpur,31,1991,19,1451,76,80.6,16.1,17,81,9,2,40,0,1,18,23,-5,-0.31,1.24,Matches
40,Makan Chote,in IND,MF,Goa,22,2000,10,261,26,14.5,2.9,1,45,0,9,24,6,1.9,7,4,3,1.03,1.15,Matches
41,Farukh Choudhary,in IND,"MF,FW",Jamshedpur,25,1996,16,630,39,35,7,6,76,3,10,17,4,0.94,4,11,-7,-1,-0.69,Matches
42,Pratik Chowdhary,in IND,DF,Jamshedpur,32,1989,17,1275,75,70.8,14.2,14,87,13,3,20,2,1.12,17,19,-2,-0.14,1.4,Matches
43,Lal Chungnunga,in IND,DF,East Bengal,21,2000,19,1681,88,93.4,18.7,19,88,18,0,,0,0.84,20,38,-18,-0.96,-2.48,Matches
44,Liston Colaco,in IND,"MF,FW",Mohun Bagan,23,1998,20,1336,67,74.2,14.8,15,83,7,5,17,0,1.67,17,14,3,0.2,-0.57,Matches
45,Alan Costa,br BRA,DF,Bengaluru,31,1990,15,1046,70,58.1,11.6,11,89,10,4,18,2,1.67,18,13,5,0.43,0.55,Matches
46,SaÃºl Crespo,es ESP,MF,Odisha,26,1996,17,1476,87,82,16.4,17,87,14,0,,1,1.61,26,23,3,0.18,1.57,Matches
47,Rafael Crivellaro,br BRA,"MF,FW",Jamshedpur,33,1989,10,684,68,38,7.6,9,75,3,1,8,0,0.9,9,12,-3,-0.39,0.25,Matches
48,Leander D'Cunha,in IND,DF,Goa,24,1997,1,1,1,0.1,0,0,,0,1,1,14,3,0,0,0,0,-0.05,Matches
49,Aaren D'Silva,in IND,FW,Hyderabad FC,24,1997,14,109,8,6.1,1.2,0,,0,14,8,5,2.07,4,1,3,2.48,1.57,Matches
50,Devansh Dabas,in IND,GK,Chennaiyin,20,2001,1,90,90,5,1,1,90,1,0,,11,0,0,2,-2,-2,-2.05,Matches
51,Rakshit Dagar,in IND,GK,Jamshedpur,29,1992,0,,,,,0,,0,0,,4,,,,,,,Matches
52,Vignesh Dakshina Murthy,in IND,DF,Mumbai City,24,1998,14,887,63,49.3,9.9,10,77,6,4,30,5,2.19,32,10,22,2.23,1.15,Matches
53,Slavko DamjanoviÄ‡,me MNE,DF,Mohun Bagan,29,1992,6,244,41,13.6,2.7,2,90,2,4,16,2,1.7,2,1,1,0.37,0.02,Matches
54,Rohit Danu,in IND,MF,Hyderabad FC,20,2002,11,384,35,21.3,4.3,5,65,0,6,10,1,2.15,8,5,3,0.7,-0.38,Matches
55,Narayan Das,in IND,DF,Chennaiyin,28,1993,6,332,55,18.4,3.7,4,73,3,2,20,10,2.17,5,4,1,0.27,0.39,Matches
56,Prabir Das,in IND,"MF,DF",Bengaluru,28,1993,16,1151,72,63.9,12.8,13,83,8,3,26,3,1.95,24,13,11,0.86,1.83,Matches
57,Ritwik Das,in IND,MF,Jamshedpur,25,1996,18,1253,70,69.6,13.9,14,82,4,4,28,2,1,17,19,-2,-0.14,1.34,Matches
58,Sourav Das,in IND,MF,Chennaiyin,26,1996,7,392,56,21.8,4.4,4,82,3,3,21,3,1.43,9,10,-1,-0.23,-0.23,Matches
59,Tuhin Das,in IND,MF,East Bengal,22,2000,8,209,26,11.6,2.3,2,62,0,6,14,9,0.38,2,3,-1,-0.43,0.42,Matches
60,Carlos Delgado,es ESP,DF,Odisha,32,1990,20,1800,90,100,20,20,90,20,0,,0,1.43,30,32,-2,-0.1,,Matches
61,Matt Derbyshire,eng ENG,FW,NorthEast Utd,36,1986,8,561,70,31.2,6.2,6,83,4,2,33,1,0,4,15,-11,-1.76,-0.02,Matches
62,Abhishek Dhananjay,in IND,MF,Mohun Bagan,21,2001,0,,,,,0,,0,0,,6,,,,,,,Matches
63,Jockson Dhas,in IND,MF,Chennaiyin,27,1995,6,154,26,8.6,1.7,2,51,0,4,13,1,1.5,3,2,1,0.58,0.69,Matches
64,Fallou Diagne,sn SEN,DF,Chennaiyin,32,1989,19,1567,82,87.1,17.4,19,82,13,0,,0,1.42,30,32,-2,-0.11,-0.5,Matches
65,Dimitris Diamantakos,gr GRE,FW,Kerala Blasters,29,1993,20,1628,81,90.4,18.1,20,81,8,0,,0,1.48,25,28,-3,-0.17,-1.74,Matches
66,Rishabh Dobriyal,in IND,FW,Odisha,20,2001,0,,,,,0,,0,0,,5,,,,,,,Matches
