Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,PK,PKatt,nPG,npxG,np:G-xG
32,Aman Chhetri,in IND,DF,Kerala Blasters,21,2001,18.7,0,7,2,28.6,0.37,0.11,0,0,0.62,0,0,0,0.85,-0.62
33,Ayush Chhetri,in IND,MF,Goa,19,2003,13.9,0,2,0,0,0.14,0,0,,0,0,0,0,0,0
34,Sunil Chhetri,in IND,"FW,MF",Bengaluru,37,1984,11.7,2,23,10,43.5,1.97,0.86,0.04,0.1,3.52,1,1,1,3.45,-2.52
35,Ayush Chhikara,in IND,FW,Mumbai City,20,2002,0.8,0,3,1,33.3,3.75,1.25,0,0,0.88,0,0,0,0.85,-0.88
36,Joel Chianese,au AUS,MF,Hyderabad FC,32,1990,9.1,2,12,6,50,1.32,0.66,0.17,0.33,4.87,0,0,2,4.25,-2.87
37,Daniel Chima Chukwu,ng NGA,FW,Jamshedpur,31,1991,16.1,5,45,15,33.3,2.79,0.93,0.11,0.33,4.07,0,0,5,10.2,0.93
38,Makan Chote,in IND,MF,Goa,22,2000,2.9,0,7,2,28.6,2.41,0.69,0,0,1.24,0,0,0,0.85,-1.24
39,Farukh Choudhary,in IND,"MF,FW",Jamshedpur,25,1996,7,0,11,1,9.1,1.57,0.14,0,0,0,0,0,0,0.85,0
40,Pratik Chowdhary,in IND,DF,Jamshedpur,32,1989,14.2,0,12,2,16.7,0.85,0.14,0,0,0.87,0,0,0,0.85,-0.87
41,Lal Chungnunga,in IND,DF,East Bengal,21,2000,18.7,0,5,1,20,0.27,0.05,0,0,0,0,0,0,0.85,0
42,Liston Colaco,in IND,"MF,FW",Mohun Bagan,23,1998,14.8,1,52,20,38.5,3.5,1.35,0.02,0.05,0.47,0,0,1,14.45,0.53
43,Alan Costa,br BRA,DF,Bengaluru,31,1990,11.6,2,10,2,20,0.86,0.17,0.2,1,0.88,0,0,2,0.85,1.12
44,Saúl Crespo,es ESP,MF,Odisha,26,1996,16.4,0,20,3,15,1.22,0.18,0,0,0.42,0,0,0,1.7,-0.42
45,Rafael Crivellaro,br BRA,"MF,FW",Jamshedpur,33,1989,7.6,0,18,5,27.8,2.37,0.66,0,0,0,0,0,0,3.4,0
46,Leander D'Cunha,in IND,DF,Goa,24,1997,0,0,0,0,,0,0,,,0,0,0,0,0,0
47,Aaren D'Silva,in IND,FW,Hyderabad FC,24,1997,1.2,1,5,1,20,4.13,0.83,0.2,1,0.18,0,0,1,0.85,0.82
48,Devansh Dabas,in IND,GK,Chennaiyin,20,2001,1,0,0,0,,0,0,,,0,0,0,0,0,0
49,Vignesh Dakshina Murthy,in IND,DF,Mumbai City,24,1998,9.9,1,5,1,20,0.51,0.1,0.2,1,0.87,0,0,1,0.85,0.13
