Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,PK,PKatt,nPG,npxG,np:G-xG
187,Mobashir Rahman,in IND,MF,East Bengal,24,1998,8.9,0,6,0,0,0.67,0,0,,0,0,0,0,0,0
188,Asish Rai,in IND,"DF,MF",Mohun Bagan,23,1999,19.2,0,19,8,42.1,0.99,0.42,0,0,0,0,0,0,5.95,0
189,Vinit Rai,in IND,"MF,DF",Mumbai City,24,1997,4.7,2,4,3,75,0.85,0.64,0.5,0.67,1.27,0,0,2,1.7,0.73
190,Soosai Raj,in IND,MF,Odisha,27,1994,0.1,0,0,0,,0,0,,,0,0,0,0,0,0
191,Mohamad Rakip,in IND,DF,East Bengal,22,2000,2.7,0,1,1,100,0.37,0.37,0,0,0,0,0,0,0.85,0
192,Paul Ramfangzauva,in IND,MF,Odisha,23,1999,0.3,0,0,0,,0,0,,,0,0,0,0,0,0
193,Bruno Ramires,br BRA,"MF,DF",Bengaluru,28,1994,9,0,7,2,28.6,0.78,0.22,0,0,1.62,0,0,0,0.85,-1.62
194,Jayesh Rane,in IND,MF,Bengaluru,30,1991,2.7,0,2,0,0,0.73,0,0,,0,0,0,0,0,0
195,Mandar Rao Dessai,in IND,DF,Mumbai City,30,1992,5.5,0,4,1,25,0.73,0.18,0,0,0,0,0,0,0.85,0
196,Princeton Rebello,in IND,MF,Goa,23,1999,0.9,0,0,0,,0,0,,,0,0,0,0,0,0
197,Laldinliana Renthlei,in IND,DF,Jamshedpur,23,1998,15.4,0,6,0,0,0.39,0,0,,0,0,0,0,0,0
198,Rochharzela,in IND,"FW,MF",NorthEast Utd,24,1998,5.6,2,7,3,42.9,1.25,0.54,0.29,0.67,2.45,0,0,2,1.7,-0.45
199,Lenny Rodrigues,in IND,MF,Goa,35,1987,1,0,1,0,0,0.98,0,0,,0,0,0,0,0,0
200,Lenny Rodrigues,in IND,MF,Mohun Bagan,35,1987,4.9,1,6,1,16.7,1.22,0.2,0.17,1,0.1,0,0,1,0.85,0.9
201,Víctor Rodríguez,es ESP,"MF,FW",Odisha,33,1989,4.7,1,7,2,28.6,1.49,0.43,0.14,0.5,0.81,0,0,1,0.85,0.19
202,P Rohlupuia,in IND,MF,Mumbai City,23,1999,0,0,0,0,,0,0,,,0,0,0,0,0,0
203,Noah Saadaoui,ma MAR,"MF,FW",Goa,29,1992,16.3,9,55,25,45.5,3.38,1.54,0.16,0.36,7.96,0,0,9,15.3,1.04
204,Eli Sabiá,br BRA,DF,Jamshedpur,33,1988,14.1,0,8,1,12.5,0.57,0.07,0,0,0,0,0,0,0.85,0
205,Sekh Sahil,in IND,MF,Jamshedpur,22,2000,0.8,0,0,0,,0,0,,,0,0,0,0,0,0
206,Alex Saji,in IND,DF,NorthEast Utd,22,2000,6.7,0,5,0,0,0.74,0,0,,0,0,0,0,0,0
207,Mohammad Sajid Dhot,in IND,DF,Chennaiyin,24,1997,0.3,0,0,0,,0,0,,,0,0,0,0,0,0
208,Siva Sakthi,in IND,FW,Bengaluru,21,2001,9.9,6,27,11,40.7,2.72,1.11,0.22,0.55,1.44,0,0,6,7.65,4.56
209,Aakash Sangwan,in IND,DF,Chennaiyin,26,1995,17.4,0,4,0,0,0.23,0,0,,0,0,0,0,0,0
210,Shubham Sarangi,in IND,DF,Odisha,22,2000,6.3,0,3,0,0,0.48,0,0,,0,0,0,0,0,0
211,Harry Sawyer,au AUS,"FW,MF",Jamshedpur,25,1996,9.7,2,41,13,31.7,4.22,1.34,0.05,0.15,6.52,0,0,2,5.95,-4.52
212,Suvam Sen,in IND,GK,East Bengal,32,1989,3,0,0,0,,0,0,,,0,0,0,0,0,0
213,Hitesh Sharma,in IND,MF,Hyderabad FC,24,1997,12.9,1,8,1,12.5,0.62,0.08,0.13,1,0.31,0,0,1,0.85,0.69
214,Mashoor Shereef,in IND,DF,NorthEast Utd,29,1993,5.9,0,0,0,,0,0,,,0,0,0,0,0,0
215,Parag Shrivas,in IND,DF,Bengaluru,25,1997,10.9,0,11,1,9.1,1.01,0.09,0,0,0,0,0,0,0.85,0
216,Cleiton Silva,br BRA,FW,East Bengal,35,1987,19.7,12,57,25,43.9,2.89,1.27,0.16,0.36,17.48,3,3,9,15.45,-8.48
217,Amarjit Singh,in IND,MF,East Bengal,21,2001,0.1,0,0,0,,0,0,0,0,0,0,0,0,0,0
218,Amrinder Singh,in IND,GK,Odisha,29,1993,20,0,0,0,,0,0,0,0,0,0,0,0,0,0
219,Arshdeep Singh,in IND,GK,Goa,24,1997,1.4,0,0,0,,0,0,0,0,0,0,0,0,0,0
220,Bidyashagar Singh,in IND,FW,Kerala Blasters,24,1998,0.3,0,3,1,33.3,10.8,3.6,0,0,0,0,0,0,0.85,0
221,Bipin Singh,in IND,"FW,MF",Mumbai City,27,1995,18.8,6,51,25,49,2.71,1.33,0.12,0.24,8.23,0,0,6,15.3,-2.23
222,Dheeraj Singh,in IND,GK,Goa,22,2000,18.6,0,0,0,,0,0,0,0,0,0,0,0,0,0
223,Germanpreet Singh,in IND,MF,Jamshedpur,26,1996,3.6,0,6,1,16.7,1.67,0.28,0,0,0,0,0,0,0.85,0
224,Gurkirat Singh,in IND,DF,Mumbai City,19,2003,1.2,0,6,1,16.7,4.91,0.82,0,0,0,0,0,0,0.85,0
225,Gurmeet Singh,in IND,GK,Hyderabad FC,23,1999,12,0,0,0,,0,0,0,0,0,0,0,0,0,0
226,Gurmukh Singh,in IND,DF,Chennaiyin,23,1999,5.2,0,1,0,0,0.19,0,0,0,0,0,0,0,0,0
227,Gursimrat Singh,in IND,DF,Mumbai City,24,1997,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
228,Harmanpreeth Singh,in IND,MF,Bengaluru,20,2001,0.1,0,0,0,,0,0,0,0,0,0,0,0,0,0
229,Jeakson Singh,in IND,MF,Kerala Blasters,21,2001,18.2,0,9,1,11.1,0.49,0.05,0,0,0,0,0,0,0.85,0
230,Jitendra Singh,in IND,MF,Jamshedpur,21,2001,8.1,0,4,0,0,0.49,0,0,0,0,0,0,0,0,0
231,Kamaljit Singh,in IND,GK,East Bengal,26,1995,17,0,0,0,,0,0,0,0,0,0,0,0,0,0
232,Karanjit Singh,in IND,GK,Kerala Blasters,36,1986,2,0,0,0,,0,0,0,0,0,0,0,0,0,0
233,Konsham Singh,in IND,DF,Hyderabad FC,25,1996,11.8,1,1,1,100,0.09,0.09,1,1,0.66,0,0,1,0.85,0.34
234,Manvir Singh,in IND,"MF,FW",Mohun Bagan,26,1995,12.4,2,17,4,23.5,1.37,0.32,0.12,0.5,3.15,0,0,2,2.55,-1.15
235,Mehtab Singh,in IND,DF,Mumbai City,24,1998,18.4,1,7,2,28.6,0.38,0.11,0.14,0.5,0.71,0,0,1,0.85,0.29
236,Naorem Singh,in IND,"MF,FW",East Bengal,23,1999,16.9,2,14,5,35.7,0.83,0.3,0.14,0.4,0.61,0,0,2,1.7,1.39
237,Phijam Singh,in IND,MF,Jamshedpur,19,2003,2.3,0,2,0,0,0.87,0,0,0,0,0,0,0,0,0
238,Prabhsukhan Singh,in IND,GK,Kerala Blasters,21,2001,18,0,0,0,,0,0,0,0,0,0,0,0,0,0
239,Reagan Singh,in IND,DF,Hyderabad FC,31,1991,2.3,0,1,0,0,0.43,0,0,0,0,0,0,0,0,0
240,Roshan Singh,in IND,"MF,FW",Bengaluru,23,1999,18.9,0,19,7,36.8,1.01,0.37,0,0,0.34,0,0,0,5.1,-0.34
241,Sandeep Singh,in IND,DF,Kerala Blasters,27,1995,8.9,1,8,2,25,0.9,0.22,0.13,0.5,0.17,0,0,1,0.85,0.83
242,Gurpreet Singh Sandhu,in IND,GK,Bengaluru,30,1992,20,0,0,0,,0,0,0,0,0,0,0,0,0,0
243,Sehnaj Singh,in IND,MF,NorthEast Utd,29,1993,0.6,0,0,0,,0,0,0,0,0,0,0,0,0,0
244,Soraisam Singh,in IND,DF,East Bengal,26,1995,1,0,0,0,,0,0,0,0,0,0,0,0,0,0
245,Suresh Singh,in IND,MF,Bengaluru,21,2000,16,0,8,2,25,0.5,0.13,0,0,0.61,0,0,0,0.85,-0.61
246,Boris Singh Thangjam,in IND,"MF,FW",Jamshedpur,22,2000,17,2,23,9,39.1,1.35,0.53,0.09,0.22,0.2,0,0,2,4.25,1.8
247,Thoiba Singh,in IND,"MF,DF",Odisha,19,2002,18.4,0,15,2,13.3,0.81,0.11,0,0,1.31,0,0,0,0.85,-1.31
248,Tondonba Singh,in IND,DF,NorthEast Utd,27,1994,6.2,0,0,0,,0,0,0,0,0,0,0,0,0,0
249,Udanta Singh,in IND,"MF,FW",Bengaluru,26,1996,5.1,0,5,1,20,0.98,0.2,0,0,0.3,0,0,0,0.85,-0.3
250,Vikram Singh,in IND,MF,Mumbai City,20,2002,3,2,9,3,33.3,2.97,0.99,0.22,0.67,0.33,0,1,2,1.7,1.67
251,Yumkhaibam Singh,in IND,MF,Chennaiyin,20,2001,11.1,0,8,1,12.5,0.72,0.09,0,0,0.44,0,0,0,0.85,-0.44
252,Siverio,es ESP,FW,Hyderabad FC,24,1997,11.5,5,39,17,43.6,3.4,1.48,0.13,0.29,1.92,0,0,5,5.95,3.08
253,Petar Slišković,hr CRO,FW,Chennaiyin,31,1991,15.4,8,50,18,36,3.25,1.17,0.16,0,4.56,0,0,8,11.9,3.44
254,Sanjeev Stalin,in IND,DF,Mumbai City,21,2001,7.4,0,0,0,,0,0,0,0,0,0,0,0,0,0
255,Greg Stewart,sct SCO,"MF,FW",Mumbai City,32,1990,14.9,7,50,33,66,3.36,2.21,0.12,0.18,21.23,1,1,6,12.8,-15.23
256,Nihal Sudeesh,in IND,FW,Kerala Blasters,21,2001,1.2,0,3,2,66.7,2.5,1.67,0,0,0,0,0,0,0.85,0
257,Syed Suhail Pasha,in IND,FW,Chennaiyin,22,1999,0.3,0,0,0,,0,0,0,0,0,0,0,0,0,0
258,Parthib Sundar Gogoi,in IND,"FW,MF",NorthEast Utd,19,2003,9.5,3,20,8,40,2.1,0.84,0.15,0.38,0.49,0,0,3,5.1,2.51
259,Pragyan Sundar Gogoi,in IND,MF,NorthEast Utd,23,1999,11.3,0,14,3,21.4,1.24,0.27,0,0,0.01,0,0,0,1.7,-0.01
260,Edwin Sydney Vanspaul,in IND,"MF,DF",Chennaiyin,29,1992,11.1,1,21,9,42.9,1.9,0.81,0.05,0.11,6.21,0,0,1,3.4,-5.21
261,Nim Tamang,in IND,DF,Hyderabad FC,26,1995,9.1,1,3,1,33.3,0.33,0.11,0.33,1,0.93,0,0,1,0.85,0.07
262,Deepak Tangri,in IND,"MF,DF",Mohun Bagan,23,1999,8.3,0,5,1,20,0.6,0.12,0,0,0.73,0,0,0,0.85,-0.73
263,Sahil Tavora,in IND,MF,Hyderabad FC,26,1995,6.8,0,9,1,11.1,1.31,0.15,0,0,0,0,0,0,0.85,0
264,Anirudh Thapa,in IND,MF,Chennaiyin,24,1998,13.2,2,23,7,30.4,1.74,0.53,0.09,0.29,2.8,0,0,2,2.55,-0.8
265,Redeem Tlang,in IND,MF,Goa,27,1995,10.2,3,18,7,38.9,1.77,0.69,0.17,0.43,4.54,0,0,3,5.1,-1.54
266,Rehenesh TP,in IND,GK,Jamshedpur,29,1993,11,0,0,0,,0,0,0,0,0,0,0,0,0,0
267,Akshunna Tyagi,in IND,FW,Odisha,20,2001,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
268,Athul Unnikrishnan,in IND,DF,East Bengal,22,2000,0.1,0,0,0,,0,0,0,0,0,0,0,0,0,0
269,Muhammed Uvais,in IND,"DF,MF",Jamshedpur,24,1998,3.2,0,4,0,0,1.25,0,0,0,0,0,0,0,0,0
270,Suhair V. P.,in IND,"MF,FW",East Bengal,30,1992,14.9,2,28,8,28.6,1.88,0.54,0.07,0.25,0.89,0,0,2,3.4,1.11
271,Marc Valiente,es ESP,DF,Goa,35,1987,5.4,0,1,0,0,0.19,0,0,0,0,0,0,0,0,0
272,Isak Vanlalruatfela,in IND,"MF,FW",Odisha,21,2001,4.1,2,10,4,40,2.47,0.99,0.2,0.5,0.71,0,0,2,1.7,1.29
273,Isaac Vanmalsawma,in IND,"MF,FW",Odisha,25,1996,9.5,1,11,2,18.2,1.16,0.21,0.09,0.5,0.47,0,0,1,0.85,0.53
274,Bijoy Varghese,in IND,DF,Kerala Blasters,22,2000,0.1,0,0,0,,0,0,,0,0,0,0,0,0,0
275,Álvaro Vázquez,es ESP,FW,Goa,31,1991,8.8,1,22,8,36.4,2.49,0.91,0.05,0.13,0.01,0,1,1,5.95,0.99
276,João Victor,br BRA,MF,Hyderabad FC,33,1988,10.5,2,9,3,33.3,0.86,0.29,0.11,0.33,0.69,1,2,1,0.9,0.31
277,Vishal Yadav,in IND,GK,Jamshedpur,20,2002,9,0,0,0,,0,0,0,0,0,0,0,0,0,0
278,Joe Zoherliana,in IND,DF,NorthEast Utd,23,1999,9.5,0,2,0,0,0.21,0,0,0,0,0,0,0,0,0
279,Mark Zothanpuia,in IND,MF,Hyderabad FC,20,2002,0.2,0,0,0,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,1,,,,,,
