Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
43,Alan Costa,br BRA,DF,Bengaluru,31,1990,15,11,1046,11.6,2,1,3,2,0,0,0,0,0.17,0.09,0.26,0.17,0.26
44,SaÃºl Crespo,es ESP,MF,Odisha,26,1996,17,17,1476,16.4,0,2,2,0,0,0,2,0,0,0.12,0.12,0,0.12
45,Rafael Crivellaro,br BRA,"MF,FW",Jamshedpur,33,1989,10,9,684,7.6,0,2,2,0,0,0,0,0,0,0.26,0.26,0,0.26
46,Leander D'Cunha,in IND,DF,Goa,24,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Aaren D'Silva,in IND,FW,Hyderabad FC,24,1997,14,0,109,1.2,1,0,1,1,0,0,1,0,0.83,0,0.83,0.83,0.83
48,Devansh Dabas,in IND,GK,Chennaiyin,20,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Vignesh Dakshina Murthy,in IND,DF,Mumbai City,24,1998,14,10,887,9.9,1,0,1,1,0,0,1,0,0.1,0,0.1,0.1,0.1
50,Slavko DamjanoviÄ‡,me MNE,DF,Mohun Bagan,29,1992,6,2,244,2.7,1,0,1,1,0,0,2,0,0.37,0,0.37,0.37,0.37
51,Rohit Danu,in IND,MF,Hyderabad FC,20,2002,11,5,384,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Narayan Das,in IND,DF,Chennaiyin,28,1993,6,4,332,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0
53,Prabir Das,in IND,"MF,DF",Bengaluru,28,1993,16,13,1151,12.8,0,1,1,0,0,0,1,0,0,0.08,0.08,0,0.08
54,Ritwik Das,in IND,MF,Jamshedpur,25,1996,18,14,1253,13.9,6,0,6,6,0,0,1,0,0.43,0,0.43,0.43,0.43
55,Sourav Das,in IND,MF,Chennaiyin,26,1996,7,4,392,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0
56,Tuhin Das,in IND,MF,East Bengal,22,2000,8,2,209,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0
57,Carlos Delgado,es ESP,DF,Odisha,32,1990,20,20,1800,20,0,0,0,0,0,0,1,0,0,0,0,0,0
58,Matt Derbyshire,eng ENG,FW,NorthEast Utd,36,1986,8,6,561,6.2,1,0,1,1,0,0,0,0,0.16,0,0.16,0.16,0.16
59,Jockson Dhas,in IND,MF,Chennaiyin,27,1995,6,2,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Fallou Diagne,sn SEN,DF,Chennaiyin,32,1989,19,19,1567,17.4,0,0,0,0,0,0,5,0,0,0,0,0,0
61,Dimitris Diamantakos,gr GRE,FW,Kerala Blasters,29,1993,20,20,1628,18.1,10,3,13,8,2,2,2,0,0.55,0.17,0.72,0.44,0.61
62,Aibanbha Dohling,in IND,DF,Goa,26,1996,19,17,1489,16.5,1,0,1,1,0,0,1,0,0.06,0,0.06,0.06,0.06
63,Seiminlen Doungel,in IND,"FW,MF",Jamshedpur,28,1994,10,0,164,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0
64,Julius DÃ¼ker,de GER,MF,Chennaiyin,26,1996,20,20,1646,18.3,1,4,5,1,0,0,3,0,0.05,0.22,0.27,0.05,0.27
65,Eliandro,br BRA,FW,East Bengal,32,1990,7,0,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Jay Emmanuel-Thomas,eng ENG,MF,Jamshedpur,31,1990,17,14,1305,14.5,2,0,2,0,2,2,0,0,0.14,0,0.14,0,0
67,Aaron Evans,au AUS,DF,NorthEast Utd,27,1994,18,15,1343,14.9,2,0,2,2,0,0,3,0,0.13,0,0.13,0.13,0.13
68,Mourtada Fall,sn SEN,DF,Mumbai City,34,1987,16,8,862,9.6,1,2,3,1,0,0,1,0,0.1,0.21,0.31,0.1,0.31
69,Danish Farooq,in IND,FW,Kerala Blasters,26,1996,5,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Danish Farooq,in IND,MF,Bengaluru,26,1996,10,6,469,5.2,1,0,1,1,0,0,1,0,0.19,0,0.19,0.19,0.19
71,Brandon Fernandes,in IND,MF,Goa,27,1994,20,20,1678,18.6,3,3,6,3,0,0,4,0,0.16,0.16,0.32,0.16,0.32
72,Brison Fernandes,in IND,MF,Goa,21,2001,13,1,249,2.8,3,0,3,3,0,0,0,0,1.08,0,1.08,1.08,1.08
73,Raynier Fernandes,in IND,MF,Odisha,,,19,16,1101,12.2,0,3,3,0,0,0,0,0,0,0.25,0.25,0,0.25
74,Seriton Fernandes,in IND,DF,Goa,29,1992,15,15,1277,14.2,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07
75,Narender Gahlot,in IND,DF,Odisha,21,2001,17,15,1289,14.3,0,0,0,0,0,0,5,0,0,0,0,0,0
76,Federico Gallego,uy URU,MF,Mohun Bagan,32,1990,8,4,435,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Saviour Gama,in IND,DF,Goa,25,1997,8,3,250,2.8,0,1,1,0,0,0,0,0,0,0.36,0.36,0,0.36
78,IvÃ¡n Garrido GonzÃ¡lez,es ESP,DF,East Bengal,32,1990,15,14,1246,13.8,0,0,0,0,0,0,2,0,0,0,0,0,0
79,Jon GaztaÃ±aga,es ESP,MF,NorthEast Utd,31,1991,13,11,1031,11.5,0,1,1,0,0,0,6,0,0,0.09,0.09,0,0.09
80,Apostolos Giannou,au AUS,FW,Kerala Blasters,32,1990,17,5,676,7.5,2,2,4,2,0,0,0,0,0.27,0.27,0.53,0.27,0.53
81,Sarthak Golui,in IND,DF,East Bengal,24,1997,13,10,959,10.7,1,0,1,1,0,0,2,1,0.09,0,0.09,0.09,0.09
82,Rostyn Griffiths,au AUS,DF,Mumbai City,34,1988,17,14,1292,14.4,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14
83,Iker Guarrotxena,es ESP,"MF,FW",Goa,29,1992,20,20,1688,18.8,11,0,11,9,2,2,1,0,0.59,0,0.59,0.48,0.48
84,Vafa Hakhamaneshi,ir IRN,DF,Chennaiyin,31,1991,18,15,1394,15.5,1,0,1,1,0,0,3,1,0.06,0,0.06,0.06,0.06
85,Pronay Halder,in IND,MF,Mohun Bagan,29,1993,2,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Pronay Halder,in IND,"MF,DF",Jamshedpur,29,1993,7,7,630,7,0,0,0,0,0,0,3,0,0,0,0,0,0
87,Brendan Hamill,au AUS,DF,Mohun Bagan,29,1992,18,18,1620,18,0,0,0,0,0,0,7,0,0,0,0,0,0
88,Thongkhosiem Haokip,in IND,FW,East Bengal,29,1993,15,8,694,7.7,1,0,1,1,0,0,1,0,0.13,0,0.13,0.13,0.13
89,Peter Hartley,eng ENG,DF,Jamshedpur,34,1988,8,8,708,7.9,1,0,1,1,0,0,4,1,0.13,0,0.13,0.13,0.13
90,HernÃ¡n,es ESP,"DF,MF",Goa,31,1990,4,0,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Javi HernÃ¡ndez,es ESP,MF,Bengaluru,33,1989,18,16,1444,16,6,4,10,6,0,0,3,0,0.37,0.25,0.62,0.37,0.62
92,Borja Herrera,es ESP,MF,Hyderabad FC,29,1993,20,12,1142,12.7,4,5,9,4,0,0,1,0,0.32,0.39,0.71,0.32,0.71
93,Lalrinliana Hnamte,in IND,DF,Mohun Bagan,19,2003,9,0,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Sylvester Igboun,ng NGA,"FW,MF",NorthEast Utd,31,1990,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Mohammed Irshad,in IND,"MF,DF",NorthEast Utd,27,1994,11,6,578,6.4,0,0,0,0,0,0,2,0,0,0,0,0,0
96,Ahmed Jahouh,ma MAR,MF,Mumbai City,34,1988,19,18,1327,14.7,2,3,5,1,1,1,5,0,0.14,0.2,0.34,0.07,0.27
97,Michael Jakobsen,dk DEN,DF,NorthEast Utd,36,1986,10,10,849,9.4,0,0,0,0,0,0,2,0,0,0,0,0,0
98,Himanshu Jangra,in IND,MF,East Bengal,18,2004,6,1,151,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Jake Jervis,eng ENG,FW,East Bengal,30,1991,5,5,435,4.8,1,0,1,1,0,0,0,0,0.21,0,0.21,0.21,0.21
