Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
186,Mohammed Rafique,in IND,DF,Chennaiyin,29,1992,3,1,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Mobashir Rahman,in IND,MF,East Bengal,24,1998,13,9,802,8.9,0,1,1,0,0,0,3,1,0,0.11,0.11,0,0.11
188,Asish Rai,in IND,"DF,MF",Mohun Bagan,23,1999,20,20,1724,19.2,0,1,1,0,0,0,2,0,0,0.05,0.05,0,0.05
189,Vinit Rai,in IND,"MF,DF",Mumbai City,24,1997,10,4,424,4.7,2,0,2,2,0,0,1,0,0.42,0,0.42,0.42,0.42
190,Soosai Raj,in IND,MF,Odisha,27,1994,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Mohamad Rakip,in IND,DF,East Bengal,22,2000,6,2,243,2.7,0,0,0,0,0,0,2,0,0,0,0,0,0
192,Paul Ramfangzauva,in IND,MF,Odisha,23,1999,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Bruno Ramires,br BRA,"MF,DF",Bengaluru,28,1994,12,9,812,9,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Jayesh Rane,in IND,MF,Bengaluru,30,1991,8,2,247,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0
195,Mandar Rao Dessai,in IND,DF,Mumbai City,30,1992,9,5,496,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Princeton Rebello,in IND,MF,Goa,23,1999,3,1,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Laldinliana Renthlei,in IND,DF,Jamshedpur,23,1998,17,16,1390,15.4,0,0,0,0,0,0,3,0,0,0,0,0,0
198,Rochharzela,in IND,"FW,MF",NorthEast Utd,24,1998,14,7,504,5.6,2,0,2,2,0,0,3,0,0.36,0,0.36,0.36,0.36
199,Lenny Rodrigues,in IND,MF,Goa,35,1987,2,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Lenny Rodrigues,in IND,MF,Mohun Bagan,35,1987,9,3,444,4.9,1,0,1,1,0,0,3,1,0.2,0,0.2,0.2,0.2
201,VÃ­ctor RodrÃ­guez,es ESP,"MF,FW",Odisha,33,1989,13,2,423,4.7,1,1,2,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43
202,P Rohlupuia,in IND,MF,Mumbai City,23,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Noah Saadaoui,ma MAR,"MF,FW",Goa,29,1992,20,16,1463,16.3,9,9,18,9,0,0,1,0,0.55,0.55,1.11,0.55,1.11
204,Eli SabiÃ¡,br BRA,DF,Jamshedpur,33,1988,15,15,1269,14.1,0,0,0,0,0,0,3,1,0,0,0,0,0
205,Sekh Sahil,in IND,MF,Jamshedpur,22,2000,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Alex Saji,in IND,DF,NorthEast Utd,22,2000,7,7,606,6.7,0,0,0,0,0,0,4,0,0,0,0,0,0
207,Mohammad Sajid Dhot,in IND,DF,Chennaiyin,24,1997,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Siva Sakthi,in IND,FW,Bengaluru,21,2001,17,12,894,9.9,6,2,8,6,0,0,0,0,0.6,0.2,0.81,0.6,0.81
209,Aakash Sangwan,in IND,DF,Chennaiyin,26,1995,19,16,1565,17.4,0,5,5,0,0,0,0,0,0,0.29,0.29,0,0.29
210,Shubham Sarangi,in IND,DF,Odisha,22,2000,8,6,564,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0
211,Harry Sawyer,au AUS,"FW,MF",Jamshedpur,25,1996,18,8,875,9.7,2,5,7,2,0,0,1,0,0.21,0.51,0.72,0.21,0.72
212,Suvam Sen,in IND,GK,East Bengal,32,1989,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0
213,Hitesh Sharma,in IND,MF,Hyderabad FC,24,1997,17,17,1163,12.9,1,1,2,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15
214,Mashoor Shereef,in IND,DF,NorthEast Utd,29,1993,8,6,533,5.9,0,0,0,0,0,0,5,0,0,0,0,0,0
215,Parag Shrivas,in IND,DF,Bengaluru,25,1997,16,10,982,10.9,0,1,1,0,0,0,4,0,0,0.09,0.09,0,0.09
216,Cleiton Silva,br BRA,FW,East Bengal,35,1987,20,20,1773,19.7,12,1,13,9,3,3,4,0,0.61,0.05,0.66,0.46,0.51
217,Amarjit Singh,in IND,MF,East Bengal,21,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Amrinder Singh,in IND,GK,Odisha,29,1993,20,20,1800,20,0,1,1,0,0,0,3,0,0,0.05,0.05,0,0.05
219,Arshdeep Singh,in IND,GK,Goa,24,1997,2,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Bidyashagar Singh,in IND,FW,Kerala Blasters,24,1998,6,0,25,0.3,0,1,1,0,0,0,0,0,0,3.6,3.6,0,3.6
221,Bipin Singh,in IND,"FW,MF",Mumbai City,27,1995,20,20,1693,18.8,6,2,8,6,0,0,0,0,0.32,0.11,0.43,0.32,0.43
222,Dheeraj Singh,in IND,GK,Goa,22,2000,19,19,1678,18.6,0,0,0,0,0,0,2,0,0,0,0,0,0
223,Germanpreet Singh,in IND,MF,Jamshedpur,26,1996,5,4,323,3.6,0,1,1,0,0,0,0,0,0,0.28,0.28,0,0.28
224,Gurkirat Singh,in IND,DF,Mumbai City,19,2003,9,0,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Gurmeet Singh,in IND,GK,Hyderabad FC,23,1999,12,12,1080,12,0,0,0,0,0,0,1,0,0,0,0,0,0
226,Gurmukh Singh,in IND,DF,Chennaiyin,23,1999,10,5,472,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Gursimrat Singh,in IND,DF,Mumbai City,24,1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Harmanpreeth Singh,in IND,MF,Bengaluru,20,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Jeakson Singh,in IND,MF,Kerala Blasters,21,2001,19,19,1641,18.2,0,0,0,0,0,0,3,0,0,0,0,0,0
230,Jitendra Singh,in IND,MF,Jamshedpur,21,2001,13,7,733,8.1,0,0,0,0,0,0,2,0,0,0,0,0,0
231,Kamaljit Singh,in IND,GK,East Bengal,26,1995,17,17,1530,17,0,0,0,0,0,0,1,0,0,0,0,0,0
232,Karanjit Singh,in IND,GK,Kerala Blasters,36,1986,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Konsham Singh,in IND,DF,Hyderabad FC,25,1996,12,12,1058,11.8,1,0,1,1,0,0,3,0,0.09,0,0.09,0.09,0.09
234,Manvir Singh,in IND,"MF,FW",Mohun Bagan,26,1995,14,14,1118,12.4,2,3,5,2,0,0,1,0,0.16,0.24,0.4,0.16,0.4
235,Mehtab Singh,in IND,DF,Mumbai City,24,1998,19,18,1654,18.4,1,0,1,1,0,0,3,0,0.05,0,0.05,0.05,0.05
236,Naorem Singh,in IND,"MF,FW",East Bengal,23,1999,19,18,1517,16.9,2,7,9,2,0,0,1,0,0.12,0.42,0.53,0.12,0.53
237,Phijam Singh,in IND,MF,Jamshedpur,19,2003,4,3,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Prabhsukhan Singh,in IND,GK,Kerala Blasters,21,2001,18,18,1620,18,0,0,0,0,0,0,3,0,0,0,0,0,0
239,Reagan Singh,in IND,DF,Hyderabad FC,31,1991,7,2,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Roshan Singh,in IND,"MF,FW",Bengaluru,23,1999,20,20,1701,18.9,0,2,2,0,0,0,2,0,0,0.11,0.11,0,0.11
241,Sandeep Singh,in IND,DF,Kerala Blasters,27,1995,9,9,801,8.9,1,1,2,1,0,0,4,0,0.11,0.11,0.22,0.11,0.22
242,Gurpreet Singh Sandhu,in IND,GK,Bengaluru,30,1992,20,20,1800,20,0,0,0,0,0,0,2,0,0,0,0,0,0
243,Sehnaj Singh,in IND,MF,NorthEast Utd,29,1993,1,1,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Soraisam Singh,in IND,DF,East Bengal,26,1995,2,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Suresh Singh,in IND,MF,Bengaluru,21,2000,18,17,1439,16,0,0,0,0,0,0,4,0,0,0,0,0,0
246,Boris Singh Thangjam,in IND,"MF,FW",Jamshedpur,22,2000,20,18,1534,17,2,1,3,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18
247,Thoiba Singh,in IND,"MF,DF",Odisha,19,2002,20,19,1657,18.4,0,0,0,0,0,0,3,0,0,0,0,0,0
248,Tondonba Singh,in IND,DF,NorthEast Utd,27,1994,8,6,562,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Udanta Singh,in IND,"MF,FW",Bengaluru,26,1996,15,3,461,5.1,0,2,2,0,0,0,1,0,0,0.39,0.39,0,0.39
250,Vikram Singh,in IND,MF,Mumbai City,20,2002,17,0,273,3,2,0,2,2,0,1,3,0,0.66,0,0.66,0.66,0.66
251,Yumkhaibam Singh,in IND,MF,Chennaiyin,20,2001,16,10,996,11.1,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09
252,Siverio,es ESP,FW,Hyderabad FC,24,1997,20,12,1033,11.5,5,0,5,5,0,0,1,0,0.44,0,0.44,0.44,0.44
253,Petar SliÅ¡koviÄ‡,hr CRO,FW,Chennaiyin,31,1991,17,17,1383,15.4,8,4,12,8,0,0,1,0,0.52,0.26,0.78,0.52,0.78
254,Sanjeev Stalin,in IND,DF,Mumbai City,21,2001,11,8,666,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0
255,Greg Stewart,sct SCO,"MF,FW",Mumbai City,32,1990,18,17,1341,14.9,7,7,14,6,1,1,3,0,0.47,0.47,0.94,0.4,0.87
256,Nihal Sudeesh,in IND,FW,Kerala Blasters,21,2001,5,0,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Syed Suhail Pasha,in IND,FW,Chennaiyin,22,1999,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Parthib Sundar Gogoi,in IND,"FW,MF",NorthEast Utd,19,2003,18,9,858,9.5,3,1,4,3,0,0,2,0,0.31,0.1,0.42,0.31,0.42
259,Pragyan Sundar Gogoi,in IND,MF,NorthEast Utd,23,1999,16,12,1017,11.3,0,1,1,0,0,0,4,0,0,0.09,0.09,0,0.09
260,Edwin Sydney Vanspaul,in IND,"MF,DF",Chennaiyin,29,1992,19,10,997,11.1,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18
261,Nim Tamang,in IND,DF,Hyderabad FC,26,1995,11,9,815,9.1,1,0,1,1,0,0,0,0,0.11,0,0.11,0.11,0.11
262,Deepak Tangri,in IND,"MF,DF",Mohun Bagan,23,1999,11,10,745,8.3,0,0,0,0,0,0,2,0,0,0,0,0,0
263,Sahil Tavora,in IND,MF,Hyderabad FC,26,1995,19,3,616,6.8,0,0,0,0,0,0,2,0,0,0,0,0,0
264,Anirudh Thapa,in IND,MF,Chennaiyin,24,1998,16,14,1192,13.2,2,0,2,2,0,0,2,0,0.15,0,0.15,0.15,0.15
265,Redeem Tlang,in IND,MF,Goa,27,1995,18,12,914,10.2,3,2,5,3,0,0,2,0,0.3,0.2,0.49,0.3,0.49
266,Rehenesh TP,in IND,GK,Jamshedpur,29,1993,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Akshunna Tyagi,in IND,FW,Odisha,20,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Athul Unnikrishnan,in IND,DF,East Bengal,22,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Muhammed Uvais,in IND,"DF,MF",Jamshedpur,24,1998,6,3,288,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0
270,Suhair V. P.,in IND,"MF,FW",East Bengal,30,1992,18,18,1343,14.9,2,3,5,2,0,0,8,0,0.13,0.2,0.34,0.13,0.34
271,Marc Valiente,es ESP,DF,Goa,35,1987,8,7,483,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0
272,Isak Vanlalruatfela,in IND,"MF,FW",Odisha,21,2001,10,5,365,4.1,2,2,4,2,0,0,0,0,0.49,0.49,0.99,0.49,0.99
273,Isaac Vanmalsawma,in IND,"MF,FW",Odisha,25,1996,19,7,857,9.5,1,1,2,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21
274,Bijoy Varghese,in IND,DF,Kerala Blasters,22,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Ãlvaro VÃ¡zquez,es ESP,FW,Goa,31,1991,17,7,795,8.8,1,3,4,1,0,1,1,0,0.11,0.34,0.45,0.11,0.45
276,JoÃ£o Victor,br BRA,MF,Hyderabad FC,33,1988,12,10,944,10.5,2,0,2,1,1,2,1,0,0.19,0,0.19,0.1,0.1
277,Vishal Yadav,in IND,GK,Jamshedpur,20,2002,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Joe Zoherliana,in IND,DF,NorthEast Utd,23,1999,12,9,853,9.5,0,0,0,0,0,0,2,0,0,0,0,0,0
279,Mark Zothanpuia,in IND,MF,Hyderabad FC,20,2002,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
